session_key,ts,category,flag,scope,sector,lap_number,driver_id,message
9685,2025-02-28 14:11:00.113+02,SessionStatus,,,,,,SESSION STARTED
9685,2025-02-28 14:48:17+02,Flag,YELLOW,Sector,11,,,YELLOW IN TRACK SECTOR 11
9685,2025-02-28 14:48:18+02,Other,,,,,,DRS DISABLED IN ZONE 2
9685,2025-02-28 14:48:28+02,Other,,,,,,DRS ENABLED IN ZONE 2
9685,2025-02-28 14:48:28+02,Flag,CLEAR,Sector,11,,,CLEAR IN TRACK SECTOR 11
9685,2025-02-28 15:18:13+02,Flag,YELLOW,Sector,11,,,YELLOW IN TRACK SECTOR 11
9685,2025-02-28 15:18:14+02,Other,,,,,,DRS DISABLED IN ZONE 2
9685,2025-02-28 15:18:15+02,Other,,,,,,DRS ENABLED IN ZONE 2
9685,2025-02-28 15:18:15+02,Flag,CLEAR,Sector,11,,,CLEAR IN TRACK SECTOR 11
9685,2025-02-28 16:12:57+02,Flag,YELLOW,Sector,2,,,YELLOW IN TRACK SECTOR 2
9685,2025-02-28 16:12:58+02,Other,,,,,,DRS DISABLED IN ZONE 3
9685,2025-02-28 16:12:59+02,Other,,,,,,DRS ENABLED IN ZONE 3
9685,2025-02-28 16:12:59+02,Flag,CLEAR,Sector,2,,,CLEAR IN TRACK SECTOR 2
9685,2025-02-28 16:37:34+02,Flag,YELLOW,Sector,11,,,YELLOW IN TRACK SECTOR 11
9685,2025-02-28 16:37:35+02,Other,,,,,,DRS DISABLED IN ZONE 2
9685,2025-02-28 16:37:39+02,Other,,,,,,DRS ENABLED IN ZONE 2
9685,2025-02-28 16:37:39+02,Flag,CLEAR,Sector,11,,,CLEAR IN TRACK SECTOR 11
9685,2025-02-28 17:34:14+02,Flag,DOUBLE YELLOW,Sector,2,,,DOUBLE YELLOW IN TRACK SECTOR 2
9685,2025-02-28 17:34:15+02,Other,,,,,,DRS DISABLED IN ZONE 3
9685,2025-02-28 17:34:32+02,Other,,,,,,DRS ENABLED IN ZONE 3
9685,2025-02-28 17:34:32+02,Flag,CLEAR,Sector,2,,,CLEAR IN TRACK SECTOR 2
9685,2025-02-28 17:38:37+02,Flag,DOUBLE YELLOW,Sector,2,,,DOUBLE YELLOW IN TRACK SECTOR 2
9685,2025-02-28 17:38:38+02,Other,,,,,,DRS DISABLED IN ZONE 3
9685,2025-02-28 17:38:47+02,Other,,,,,,DRS ENABLED IN ZONE 3
