session_key,driver_id,driver_number,position,points,number_of_laps,dnf,dns,dsq,duration_s,gap_to_leader_s,laps_down,q1_s,q2_s,q3_s,gap_raw
9845,15,31,15,0.00,19,f,f,f,1649.871,38.838,,,,,38.838
9845,13,27,16,0.00,19,f,f,f,1650.671,39.638,,,,,39.638
9845,16,44,17,0.00,19,f,f,f,1657.204,46.171,,,,,46.171
9845,6,10,18,0.00,19,f,f,f,1680.567,69.534,,,,,69.534
9845,10,18,19,0.00,19,f,f,f,1688.993,77.960,,,,,77.96
9845,29,43,20,0.00,19,f,f,f,1691.837,80.804,,,,,80.804
9846,19,81,1,0.00,18,f,f,f,,,,80.234,79.650,79.387,"[0.16, 0.0, 0.0]"
9846,2,4,2,0.00,17,f,f,f,,,,80.157,79.861,79.495,"[0.083, 0.211, 0.108]"
9846,1,1,3,0.00,23,f,f,f,,,,80.472,79.985,79.651,"[0.398, 0.335, 0.264]"
9846,18,63,4,0.00,26,f,f,f,,,,80.074,80.186,79.662,"[0.0, 0.536, 0.275]"
9846,7,12,5,0.00,22,f,f,f,,,,80.576,80.084,79.846,"[0.502, 0.434, 0.459]"
9846,4,6,6,0.00,20,f,f,f,,,,80.603,80.350,80.114,"[0.529, 0.7, 0.727]"
9846,17,55,7,0.00,25,f,f,f,,,,80.520,80.251,80.287,"[0.446, 0.601, 0.9]"
9846,8,14,8,0.00,21,f,f,f,,,,80.598,80.219,80.418,"[0.524, 0.569, 1.031]"
9846,6,10,9,0.00,21,f,f,f,,,,80.681,80.324,80.477,"[0.607, 0.674, 1.09]"
9846,9,16,10,0.00,23,f,f,f,,,,80.564,80.343,80.561,"[0.49, 0.693, 1.174]"
9846,13,27,11,0.00,20,f,f,f,,,,80.630,80.353,,"[0.556, 0.703, null]"
9846,14,30,12,0.00,15,f,f,f,,,,80.539,80.433,,"[0.465, 0.783, null]"
9846,20,87,13,0.00,20,f,f,f,,,,80.548,80.438,,"[0.474, 0.788, null]"
9846,3,5,14,0.00,20,f,f,f,,,,80.653,80.534,,"[0.579, 0.884, null]"
9846,12,23,15,0.00,19,f,f,f,,,,80.629,80.629,,"[0.555, 0.979, null]"
9846,11,22,16,0.00,9,f,f,f,,,,80.761,,,"[0.687, null, null]"
9846,15,31,17,0.00,11,f,f,f,,,,80.864,,,"[0.79, null, null]"
9846,16,44,18,0.00,9,f,f,f,,,,80.907,,,"[0.833, null, null]"
9846,10,18,19,0.00,10,f,f,f,,,,81.058,,,"[0.984, null, null]"
9846,29,43,20,0.00,9,f,f,f,,,,81.137,,,"[1.063, null, null]"
9850,1,1,1,25.00,57,f,f,f,5078.241,0.000,,,,,0
9850,19,81,2,18.00,57,f,f,f,5086.236,7.995,,,,,7.995
9850,17,55,3,15.00,57,f,f,f,5100.906,22.665,,,,,22.665
9850,2,4,4,12.00,57,f,f,f,5101.556,23.315,,,,,23.315
