session_key,driver_number,driver_id,team_id
9850,23,12,9
9850,27,13,3
9850,30,14,4
9850,31,15,10
9850,43,29,5
9850,44,16,8
9850,55,17,9
9850,63,18,6
9850,81,19,2
9850,87,20,10
9851,1,1,1
9851,4,2,2
9851,5,3,3
9851,6,4,4
9851,10,6,5
9851,12,7,6
9851,14,8,7
9851,16,9,8
9851,18,10,7
9851,22,11,1
9851,23,12,9
9851,27,13,3
9851,30,14,4
9851,31,15,10
9851,43,29,5
9851,44,16,8
9851,55,17,9
9851,63,18,6
9851,81,19,2
9851,87,20,10
9852,1,1,1
9852,4,2,2
9852,5,3,3
9852,6,4,4
9852,10,6,5
9852,12,7,6
9852,14,8,7
9852,16,9,8
9852,18,10,7
9852,22,11,1
9852,23,12,9
9852,27,13,3
9852,30,14,4
9852,31,15,10
9852,43,29,5
9852,44,16,8
9852,55,17,9
9852,63,18,6
9852,81,19,2
9852,87,20,10
9853,1,1,1
9853,4,2,2
9853,5,3,3
9853,6,4,4
9853,10,6,5
9853,12,7,6
9853,14,8,7
9853,16,9,8
9853,18,10,7
9853,22,11,1
9853,23,12,9
9853,27,13,3
9853,30,14,4
9853,31,15,10
9853,43,29,5
9853,44,16,8
9853,55,17,9
9853,63,18,6
9853,81,19,2
9853,87,20,10
9854,1,1,1
9854,4,2,2
9854,5,3,3
9854,6,4,4
9854,10,6,5
9854,12,7,6
9854,14,8,7
9854,16,9,8
9854,18,10,7
9854,22,11,1
9854,23,12,9
9854,27,13,3
9854,30,14,4
9854,31,15,10
9854,43,29,5
9854,44,16,8
9854,55,17,9
9854,63,18,6
9854,81,19,2
9854,87,20,10
9858,1,1,1
9858,4,2,2
9858,5,3,3
9858,6,4,4
9858,10,6,5
9858,12,7,6
9858,14,8,7
9858,16,9,8
9858,18,10,7
9858,22,11,1
9858,23,12,9
9858,27,13,3
9858,30,14,4
9858,31,15,10
9858,43,29,5
9858,44,16,8
9858,55,17,9
9858,63,18,6
9858,81,19,2
9858,87,20,10
9859,1,1,1
9859,4,2,2
9859,5,3,3
9859,6,4,4
9859,10,6,5
9859,12,7,6
9859,14,8,7
9859,16,9,8
9859,18,10,7
9859,22,11,1
9859,23,12,9
9859,27,13,3
9859,30,14,4
9859,31,15,10
9859,43,29,5
9859,44,16,8
9859,55,17,9
9859,63,18,6
9859,81,19,2
9859,87,20,10
9860,1,1,1
9860,4,2,2
9860,5,3,3
9860,6,4,4
9860,10,6,5
9860,12,7,6
9860,14,8,7
9860,16,9,8
9860,18,10,7
9860,22,11,1
9860,23,12,9
9860,27,13,3
9860,30,14,4
9860,31,15,10
9860,43,29,5
9860,44,16,8
9860,55,17,9
9860,63,18,6
9860,81,19,2
9860,87,20,10
9864,1,1,1
9864,4,2,2
9864,5,3,3
9864,6,4,4
9864,10,6,5
9864,12,7,6
9864,14,8,7
9864,16,9,8
9864,18,10,7
9864,22,11,1
9864,23,12,9
9864,27,13,3
9864,30,14,4
9864,31,15,10
9864,43,29,5
9864,44,16,8
9864,55,17,9
9864,63,18,6
9864,81,19,2
9864,87,20,10
9865,1,1,1
9865,4,2,2
9865,5,3,3
9865,6,4,4
9865,10,6,5
9865,12,7,6
9865,14,8,7
9865,16,9,8
9865,18,10,7
9865,22,11,1
9865,23,12,9
9865,27,13,3
9865,30,14,4
9865,31,15,10
9865,43,29,5
9865,44,16,8
9865,55,17,9
9865,63,18,6
9865,81,19,2
9865,87,20,10
9869,1,1,1
9869,4,2,2
9869,5,3,3
9869,6,4,4
9869,10,6,5
9869,12,7,6
9869,14,8,7
9869,16,9,8
9869,18,10,7
9869,22,11,1
9869,23,12,9
9869,27,13,3
9869,30,14,4
9869,31,15,10
9869,43,29,5
9869,44,16,8
9869,55,17,9
9869,63,18,6
9869,81,19,2
9869,87,20,10
9870,5,3,3
9870,6,4,4
9870,12,7,6
9870,14,8,7
9870,16,9,8
9870,22,11,1
9870,23,12,9
9870,27,13,3
9870,31,15,10
9870,35,31,7
9870,36,28,1
9870,38,38,8
9870,40,22,4
9870,43,29,5
9870,46,24,9
9870,50,25,10
9870,61,32,5
9870,72,26,6
9870,81,19,2
9870,89,37,2
9871,1,1,1
9871,4,2,2
9871,5,3,3
9871,6,4,4
9871,10,6,5
9871,12,7,6
9871,14,8,7
9871,16,9,8
9871,18,10,7
9871,22,11,1
9871,23,12,9
9871,27,13,3
9871,30,14,4
9871,31,15,10
9871,43,29,5
9871,44,16,8
9871,55,17,9
9871,63,18,6
9871,81,19,2
9871,87,20,10
9872,1,1,1
9872,4,2,2
9872,5,3,3
9872,6,4,4
9872,10,6,5
9872,12,7,6
9872,14,8,7
9872,16,9,8
9872,18,10,7
9872,22,11,1
9872,23,12,9
9872,27,13,3
9872,30,14,4
9872,31,15,10
9872,43,29,5
9872,44,16,8
9872,55,17,9
9872,63,18,6
9872,81,19,2
9872,87,20,10
9873,1,1,1
9873,4,2,2
9873,5,3,3
9873,6,4,4
9873,10,6,5
9873,12,7,6
9873,14,8,7
9873,16,9,8
9873,18,10,7
9873,22,11,1
9873,23,12,9
9873,27,13,3
9873,30,14,4
9873,31,15,10
9873,43,29,5
9873,44,16,8
9873,55,17,9
9873,63,18,6
9873,81,19,2
9873,87,20,10
9877,1,1,1
9877,4,2,2
9877,5,3,3
9877,6,4,4
9877,10,6,5
9877,12,7,6
9877,14,8,7
9877,16,9,8
9877,18,10,7
9877,22,11,1
9877,23,12,9
9877,27,13,3
9877,30,14,4
9877,31,15,10
9877,43,29,5
9877,44,16,8
9877,55,17,9
9877,63,18,6
9877,81,19,2
9877,87,20,10
9878,1,1,1
9878,4,2,2
9878,5,3,3
9878,6,4,4
9878,10,6,5
9878,12,7,6
9878,14,8,7
9878,16,9,8
9878,18,10,7
9878,22,11,1
9878,23,12,9
9878,27,13,3
9878,30,14,4
9878,31,15,10
9878,43,29,5
9878,44,16,8
9878,55,17,9
9878,63,18,6
9878,81,19,2
9878,87,20,10
