session_key,ts,air_temperature,track_temperature,humidity,pressure,rainfall,wind_speed,wind_direction
9683,2025-02-26 10:41:54.109+02,15.20,26.10,51.00,1021.90,0,2.10,72
9683,2025-02-26 10:42:54.133+02,15.40,26.10,51.00,1021.90,0,1.40,98
9683,2025-02-26 10:43:54.142+02,15.30,26.00,51.00,1021.90,0,1.00,71
9683,2025-02-26 10:44:54.145+02,15.30,25.70,51.00,1022.10,0,2.50,61
9683,2025-02-26 10:45:54.173+02,15.20,25.70,52.00,1021.80,0,1.80,44
9683,2025-02-26 10:46:54.173+02,15.20,25.80,52.00,1021.90,0,1.20,359
9683,2025-02-26 10:47:54.191+02,15.20,25.90,51.00,1021.80,0,2.00,34
9683,2025-02-26 10:48:54.205+02,15.20,25.90,51.00,1021.80,0,1.40,62
9683,2025-02-26 10:49:54.222+02,15.20,25.90,50.00,1021.80,0,1.50,23
9683,2025-02-26 10:50:54.23+02,15.30,25.90,50.00,1021.80,0,1.50,23
9683,2025-02-26 10:51:54.24+02,15.10,25.80,50.00,1021.80,0,2.80,66
9683,2025-02-26 10:52:54.256+02,15.20,25.90,50.00,1021.80,0,2.00,80
9683,2025-02-26 10:53:54.27+02,15.20,25.90,50.00,1021.80,0,2.40,62
9683,2025-02-26 10:54:54.286+02,15.20,25.90,51.00,1021.70,0,1.70,19
9683,2025-02-26 10:55:54.31+02,15.30,25.90,50.00,1021.80,0,1.80,36
9683,2025-02-26 10:56:54.273+02,15.30,25.90,50.00,1021.70,0,2.00,38
9683,2025-02-26 10:57:54.273+02,15.40,25.80,51.00,1021.70,0,2.20,19
9683,2025-02-26 10:58:54.275+02,15.40,25.70,51.00,1021.70,0,2.70,27
9683,2025-02-26 10:59:54.276+02,15.40,25.50,51.00,1021.60,0,3.20,19
9683,2025-02-26 11:00:54.278+02,15.40,25.30,52.00,1021.60,0,2.80,31
9683,2025-02-26 11:01:54.276+02,15.40,25.20,52.00,1021.50,0,2.90,47
9683,2025-02-26 11:02:54.276+02,15.30,25.20,52.00,1021.50,0,1.90,33
9683,2025-02-26 11:03:54.28+02,15.30,25.20,52.00,1021.50,0,2.30,46
9683,2025-02-26 11:04:54.279+02,15.10,25.10,52.00,1021.50,0,1.80,41
9683,2025-02-26 11:05:54.28+02,15.10,25.00,52.00,1021.50,0,2.20,39
9683,2025-02-26 11:06:54.285+02,15.20,25.00,52.00,1021.40,0,2.20,30
9683,2025-02-26 11:07:54.282+02,15.20,25.10,52.00,1021.60,0,1.10,22
9683,2025-02-26 11:08:54.282+02,15.20,25.10,52.00,1021.40,0,2.50,55
9683,2025-02-26 11:09:54.283+02,15.20,25.20,52.00,1021.40,0,3.40,46
9683,2025-02-26 11:10:54.283+02,15.20,25.20,52.00,1021.60,0,2.60,41
9683,2025-02-26 11:11:54.284+02,15.30,25.20,52.00,1021.30,0,2.90,66
9683,2025-02-26 11:12:54.284+02,15.30,25.40,51.00,1021.40,0,2.00,6
9683,2025-02-26 11:13:54.284+02,15.40,25.40,50.00,1021.30,0,3.10,43
9683,2025-02-26 11:14:54.285+02,15.40,25.60,49.00,1021.40,0,2.00,349
9683,2025-02-26 11:15:54.287+02,15.50,25.60,49.00,1021.50,0,1.90,25
9683,2025-02-26 11:16:54.286+02,15.60,25.60,48.00,1021.60,0,2.30,24
9683,2025-02-26 11:17:54.29+02,15.60,25.80,46.00,1021.60,0,2.30,27
9683,2025-02-26 11:18:54.294+02,15.60,25.80,47.00,1021.60,0,3.20,11
9683,2025-02-26 11:19:54.291+02,15.60,25.70,48.00,1021.60,0,2.60,60
9683,2025-02-26 11:20:54.29+02,15.60,25.60,48.00,1021.60,0,2.10,27
9683,2025-02-26 11:21:54.29+02,15.60,25.60,48.00,1021.50,0,1.90,21
9683,2025-02-26 11:22:54.295+02,15.60,25.70,48.00,1021.50,0,2.30,32
9683,2025-02-26 11:23:54.292+02,15.60,25.60,48.00,1021.30,0,3.00,61
9683,2025-02-26 11:24:54.299+02,15.40,25.60,48.00,1021.30,0,2.90,66
9683,2025-02-26 11:25:54.298+02,15.40,25.50,49.00,1021.30,0,2.70,31
9683,2025-02-26 11:26:54.296+02,15.40,25.70,49.00,1021.50,0,3.10,29
9683,2025-02-26 11:27:54.296+02,15.40,25.60,49.00,1021.40,0,3.90,37
9683,2025-02-26 11:28:54.296+02,15.40,25.60,49.00,1021.40,0,3.90,37
9683,2025-02-26 11:29:54.299+02,15.40,25.60,49.00,1021.40,0,3.90,37
9683,2025-02-26 11:30:54.319+02,15.40,25.50,47.00,1021.20,0,2.80,7
9683,2025-02-26 11:31:54.297+02,15.40,25.50,48.00,1021.10,0,1.80,30
9683,2025-02-26 11:32:54.304+02,15.40,25.30,48.00,1021.00,0,3.10,36
9683,2025-02-26 11:33:54.298+02,15.30,25.30,48.00,1021.10,0,2.10,34
9683,2025-02-26 11:34:54.3+02,15.30,25.30,48.00,1021.10,0,2.60,33
9683,2025-02-26 11:35:54.299+02,15.20,25.30,48.00,1021.20,0,2.10,23
9683,2025-02-26 11:36:54.3+02,15.20,25.30,48.00,1021.00,0,2.70,22
9683,2025-02-26 11:37:54.303+02,15.20,25.10,47.00,1021.00,0,2.20,357
9683,2025-02-26 11:38:54.301+02,15.20,25.10,47.00,1021.10,0,2.30,14
9683,2025-02-26 11:39:54.297+02,15.30,24.80,47.00,1021.00,0,2.10,26
9683,2025-02-26 11:40:54.304+02,15.30,24.70,47.00,1021.10,0,2.30,23
9683,2025-02-26 11:41:54.304+02,15.30,24.60,48.00,1021.10,0,1.80,40
9683,2025-02-26 11:42:54.304+02,15.20,24.50,48.00,1021.10,0,1.80,18
9683,2025-02-26 11:43:54.305+02,15.20,24.50,48.00,1021.10,0,2.40,80
9683,2025-02-26 11:44:54.307+02,15.10,24.30,48.00,1021.00,0,2.90,34
9683,2025-02-26 11:45:54.307+02,15.10,24.40,49.00,1020.90,0,2.80,32
9683,2025-02-26 11:46:54.307+02,15.10,24.50,49.00,1020.90,0,2.50,27
9683,2025-02-26 11:47:54.307+02,15.10,24.50,48.00,1020.90,0,2.40,73
9683,2025-02-26 11:48:54.309+02,15.10,24.30,48.00,1020.90,0,2.30,25
9683,2025-02-26 11:49:54.312+02,15.10,24.30,48.00,1020.80,0,2.10,64
9683,2025-02-26 11:50:54.31+02,15.10,24.20,48.00,1020.90,0,1.80,27
9683,2025-02-26 11:51:54.365+02,15.10,24.20,48.00,1020.90,0,2.20,23
9683,2025-02-26 11:52:54.31+02,15.10,24.40,48.00,1020.70,0,2.20,44
9683,2025-02-26 11:53:54.311+02,15.10,24.30,48.00,1020.80,0,1.50,29
9683,2025-02-26 11:54:54.312+02,15.10,24.20,46.00,1020.70,0,2.90,30
9683,2025-02-26 11:55:54.318+02,15.10,24.20,47.00,1020.80,0,2.10,61
9683,2025-02-26 11:56:54.313+02,15.10,24.20,46.00,1020.70,0,2.30,55
9683,2025-02-26 11:57:54.314+02,15.10,24.20,46.00,1020.80,0,3.70,36
9683,2025-02-26 11:58:54.325+02,15.10,24.20,47.00,1020.60,0,3.20,34
9683,2025-02-26 11:59:54.317+02,15.20,24.30,47.00,1020.60,0,3.50,41
9683,2025-02-26 12:00:54.316+02,15.10,24.20,47.00,1020.70,0,2.20,19
9683,2025-02-26 12:01:54.317+02,15.10,24.10,48.00,1020.70,0,2.10,57
9683,2025-02-26 12:02:54.318+02,15.10,24.10,48.00,1020.70,0,2.80,44
9683,2025-02-26 12:03:54.319+02,15.00,24.10,48.00,1020.70,0,2.90,0
9683,2025-02-26 12:04:54.32+02,15.00,24.00,49.00,1020.80,0,2.90,37
9683,2025-02-26 12:05:54.32+02,15.10,24.00,49.00,1020.80,0,2.30,41
9683,2025-02-26 12:06:54.32+02,15.10,24.20,49.00,1020.70,0,1.70,65
9683,2025-02-26 12:07:54.322+02,15.10,24.20,49.00,1020.70,0,2.50,22
9683,2025-02-26 12:08:54.322+02,15.10,24.20,49.00,1020.70,0,2.30,36
9683,2025-02-26 12:09:54.322+02,15.10,24.00,49.00,1020.80,0,1.80,73
9683,2025-02-26 12:10:54.324+02,15.10,24.00,49.00,1020.70,0,2.30,18
9683,2025-02-26 12:11:54.324+02,15.20,24.10,49.00,1020.80,0,2.30,28
9683,2025-02-26 12:12:54.361+02,15.20,24.10,48.00,1020.90,0,1.90,44
9683,2025-02-26 12:13:54.325+02,15.20,24.00,48.00,1020.70,0,2.10,35
9683,2025-02-26 12:14:54.325+02,15.20,23.90,48.00,1020.70,0,3.20,18
9683,2025-02-26 12:15:54.326+02,15.10,23.90,48.00,1020.70,0,3.50,30
9683,2025-02-26 12:16:54.33+02,15.10,24.00,48.00,1020.60,0,2.70,24
9683,2025-02-26 12:17:54.328+02,15.10,24.00,48.00,1020.60,0,2.50,11
9683,2025-02-26 12:18:54.34+02,15.10,23.80,47.00,1020.60,0,2.80,22
9683,2025-02-26 12:19:54.33+02,15.10,23.70,48.00,1020.60,0,3.00,19
9683,2025-02-26 12:20:54.337+02,15.10,23.80,48.00,1020.50,0,2.50,11
9683,2025-02-26 12:21:54.33+02,15.10,23.70,48.00,1020.60,0,4.30,27
9683,2025-02-26 12:22:54.331+02,14.90,23.70,49.00,1020.60,0,4.60,30
9683,2025-02-26 12:23:54.331+02,14.90,23.60,49.00,1020.60,0,3.50,24
9683,2025-02-26 12:24:54.331+02,14.90,23.60,49.00,1020.40,0,2.30,31
9683,2025-02-26 12:25:54.324+02,14.90,23.60,49.00,1020.40,0,3.10,47
9683,2025-02-26 12:26:54.333+02,15.00,23.70,49.00,1020.30,0,4.30,37
9683,2025-02-26 12:27:54.333+02,15.00,23.70,49.00,1020.20,0,3.80,38
9683,2025-02-26 12:28:54.336+02,15.00,23.50,50.00,1020.30,0,3.20,33
9683,2025-02-26 12:29:54.336+02,14.90,23.50,50.00,1020.30,0,1.90,62
9683,2025-02-26 12:30:54.336+02,14.90,23.60,50.00,1020.20,0,3.20,32
9683,2025-02-26 12:31:54.337+02,14.90,23.60,50.00,1020.30,0,3.10,14
9683,2025-02-26 12:32:54.338+02,15.00,23.60,50.00,1020.20,0,1.90,48
9683,2025-02-26 12:33:54.339+02,15.10,23.70,49.00,1020.30,0,2.10,20
9683,2025-02-26 12:34:54.376+02,15.10,23.70,49.00,1020.10,0,2.70,30
9683,2025-02-26 12:35:54.386+02,15.20,23.70,48.00,1020.20,0,3.10,32
9683,2025-02-26 12:36:54.341+02,15.10,23.70,49.00,1020.20,0,2.70,40
9683,2025-02-26 12:37:54.341+02,15.10,23.70,49.00,1020.30,0,2.60,14
9683,2025-02-26 12:38:54.342+02,15.10,23.90,49.00,1020.20,0,1.90,19
9683,2025-02-26 12:39:54.343+02,15.20,24.00,48.00,1020.10,0,1.90,69
9683,2025-02-26 12:40:54.352+02,15.10,23.90,48.00,1020.20,0,3.30,40
9683,2025-02-26 12:41:54.344+02,15.20,23.90,48.00,1020.10,0,2.60,4
9683,2025-02-26 12:42:54.343+02,15.30,24.00,48.00,1020.10,0,2.20,37
9683,2025-02-26 12:43:54.345+02,15.30,24.10,47.00,1020.10,0,2.70,17
9683,2025-02-26 12:44:54.347+02,15.30,23.90,47.00,1020.10,0,1.90,70
9683,2025-02-26 12:45:54.346+02,15.30,23.90,47.00,1020.00,0,1.40,34
9683,2025-02-26 12:46:54.35+02,15.20,24.10,47.00,1019.90,0,1.80,340
9683,2025-02-26 12:47:54.348+02,15.10,24.40,47.00,1019.70,0,2.40,20
9683,2025-02-26 12:48:54.349+02,15.10,24.40,47.00,1019.70,0,2.40,20
9683,2025-02-26 12:49:54.35+02,15.30,24.30,47.00,1019.90,0,3.20,70
9683,2025-02-26 12:50:54.351+02,15.30,24.30,47.00,1019.80,0,2.70,11
9683,2025-02-26 12:51:54.352+02,15.30,24.30,47.00,1019.80,0,2.70,11
9683,2025-02-26 12:52:54.352+02,15.30,24.70,47.00,1019.90,0,2.50,9
9683,2025-02-26 12:53:54.358+02,15.40,24.50,47.00,1019.80,0,3.10,16
9683,2025-02-26 12:54:54.354+02,15.40,24.50,47.00,1019.80,0,3.10,16
9683,2025-02-26 12:55:54.363+02,15.40,24.30,47.00,1019.80,0,2.80,17
9683,2025-02-26 12:56:54.358+02,15.30,24.30,47.00,1019.80,0,3.90,28
9683,2025-02-26 12:57:54.355+02,15.20,24.30,47.00,1019.80,0,3.90,28
9683,2025-02-26 12:58:54.356+02,15.20,24.20,47.00,1019.70,0,2.80,45
9683,2025-02-26 12:59:54.356+02,15.20,24.30,47.00,1019.70,0,3.30,29
9683,2025-02-26 13:00:54.358+02,15.30,24.30,47.00,1019.70,0,3.30,29
9683,2025-02-26 13:01:54.358+02,15.30,24.40,47.00,1019.90,0,3.00,20
9683,2025-02-26 13:02:54.359+02,15.20,24.30,47.00,1019.70,0,3.00,20
9683,2025-02-26 13:03:54.359+02,15.30,24.30,47.00,1019.70,0,3.00,20
9683,2025-02-26 13:04:54.36+02,15.20,24.10,47.00,1019.90,0,2.80,17
